id	상호	지점명	주소	시	구	동네라벨	lat	lng	좌표출처	영업시간	브레이크	휴무	오픈일	상태	상태변경일	형태	형태_대표	스프	스프_대표	스프_세부	계보	편의	태깅확신도	대표메뉴1	대표메뉴2	대표메뉴3	좌석	한줄소개	인스타	네이버플레이스	웨이팅링크	검증상태	최종확인일	정보출처	메모
	보스라멘		서울특별시 용산구 청파로 74 (한강로3가, 16-9외6필지 용산전자랜드 지상6층)				37.532814	126.959728	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	오빠라멘		서울특별시 용산구 보광로 124, 1층 (이태원동)				37.533846	126.994296	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야서울 용산본점		서울특별시 용산구 청파로 77, 원효전자상가 1층 100,103호 (한강로3가)				37.533360	126.960836	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	토마라멘		서울특별시 용산구 원효로89길 13-14, 1층 (원효로1가)				37.540355	126.967691	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야산다이메		서울특별시 용산구 보광로60길 10, 1층 (이태원동)				37.533870	126.994708	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	라멘짱 용산점		서울특별시 용산구 한강대로23길 55, 아이파크몰 7층 (한강로3가)				37.529557	126.964157	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야서울 용산아이파크몰점		서울특별시 용산구 한강대로23길 55, 용산아이파크몰 7층 (한강로3가)				37.529557	126.964157	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	레이 라멘(Rei Ramen)		서울특별시 용산구 한강대로104라길 39, 1층 (후암동)				37.549193	126.975990	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘 새노야		서울특별시 성동구 마조로11길 5, 1층 (행당동)				37.561697	127.040850	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야코노하 성수		서울특별시 성동구 왕십리로4길 10-1, 1층 (성수동1가)				37.545659	127.045898	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	멘야포모 서울숲점		서울특별시 성동구 서울숲4길 28, 2층 (성수동1가)				37.546908	127.043884	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	소노키라멘 한양대점		서울특별시 성동구 마조로1길 2, 지상1층 (행당동, 20-17)				37.558322	127.040193	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	치카이라멘		서울특별시 성동구 한림말3길 15-16, 1층 (옥수동, 대건속셈학원)				37.542282	127.015378	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	후쿠쵸라멘 본점		서울특별시 성동구 왕십리로 410, L동 지하1층 B125호 (하왕십리동, 센트라스)				37.566553	127.024076	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	소노키라멘 건대본점		서울특별시 광진구 동일로20길 88, 2층 (자양동)				37.539945	127.068349	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	이찌방라멘&카츠카레		서울특별시 광진구 능동로19길 9, 지하1층 1호 (화양동)				37.546928	127.073187	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	우마이라멘&마제소바		서울특별시 광진구 능동로19길 9, 지하1층 2호 (화양동)				37.546928	127.073187	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	혼다라멘		서울특별시 광진구 자양로18길 32, 1층 (구의동)				37.537728	127.085300	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303+상가I20303)	
	라멘미세		서울특별시 광진구 능동로38길 30 (중곡동)				37.557161	127.081379	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	초라멘		서울특별시 광진구 능동로13길 80, 1층 (화양동)				37.545168	127.068904	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	따띠라멘		서울특별시 광진구 천호대로121길 22, 1층 (중곡동)				37.556228	127.086534	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야카오리		서울특별시 동대문구 답십리로68길 10, 1층 (장안동)				37.571993	127.069533	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	수유라멘 경희대점		서울특별시 동대문구 회기로21길 29, 1층 (회기동)				37.592709	127.053160	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	늘보라멘		서울특별시 동대문구 회기로4길 3, 1층 (제기동)				37.591001	127.037528	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘짱 청량리역점		서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 3층 316호 (전농동)				37.580977	127.046993	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	후쿠라멘		서울특별시 동대문구 한빛로 11, 1층 (신설동)				37.577038	127.024615	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	우시라멘(우리의시작은라멘이였다)		서울특별시 동대문구 이문로 88-11, 1층 (이문동)				37.594873	127.059666	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘트럭 장안점		서울특별시 동대문구 장한로12길 49, 1층 (장안동)				37.565156	127.070349	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야카오리(동부시장점)		서울특별시 중랑구 망우로32길 23, 중랑교쇼핑센터 1층 9호 (상봉동)				37.592946	127.077115	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	파파라멘		서울특별시 중랑구 사가정로50길 5 (면목동, 1층)				37.580541	127.086590	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	대부라멘		서울특별시 성북구 고려대로26길 14, 102호 (안암동5가)				37.585530	127.029823	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	소라라멘		서울특별시 성북구 화랑로 104, 지상1층 (하월곡동)				37.603332	127.043338	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야리(MenyaLee)		서울특별시 성북구 동소문로20다길 30-11, 1층 (동선동1가)				37.591695	127.018587	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	요라멘		서울특별시 성북구 정릉로26길 55, 1층 (정릉동)				37.602958	127.012925	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	신의한수&라멘		서울특별시 성북구 안암로9가길 80-17, 1층 3호 (안암동5가)				37.582812	127.028643	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	와다라멘		서울특별시 성북구 삼선교로10길 8, 1층 (삼선동1가)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	고도라멘		서울특별시 강북구 오패산로77길 4 (번동)				37.637346	127.026201	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	수유라멘 점심 저녁 찐맛 무료주차		서울특별시 강북구 한천로131길 17, 1층 (번동)[*미고시]				37.638441	127.027421	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	세종라멘		서울특별시 도봉구 도봉로114길 43, 1층 (창동)				37.647636	127.036716	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야코노하		서울특별시 도봉구 우이천로20길 7 (창동,건영A상가 103동 118호)				37.641440	127.034034	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	우시라멘		서울특별시 도봉구 마들로 548, 1층 102호 (창동, 창동역 블루핀 2동)				37.660365	127.049948	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야리 노원본점		서울특별시 노원구 상계로1길 14-11, A동 112호 (상계동, 하이웰빙상가)				37.657003	127.061873	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	멘야 다이고미		서울특별시 은평구 통일로 889, 국용빌딩 1층 (갈현동)				37.622292	126.919496	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	오레노라멘 은평		서울특별시 은평구 불광천길 366 (응암동, 1층)				37.590308	126.914362	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	주돈라멘		서울특별시 은평구 은평로 220, B동 1층 121호 (응암동, 녹번역e편한세상캐슬)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	야마노라멘		서울특별시 서대문구 명물1길 2, 1층 (창천동)				37.557919	126.937355	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	네츠라멘		서울특별시 서대문구 통일로39나길 1, 1층 좌측 (홍제동)				37.588462	126.943450	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	마마노라멘						37.568047	126.964095	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	스스라멘		서울특별시 서대문구 연세로 42-32, 1층 (창천동)				37.559248	126.938771	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	카라멘야 주식회사		서울특별시 서대문구 연세로7안길 34-1, 1층 (창천동)				37.558240	126.934837	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	토나리 라멘		서울특별시 서대문구 세무서길 78, 1층 일부호 (홍제동)				37.591176	126.946978	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	삿포로 미소라멘 에류테(永龍亭)		서울특별시 마포구 월드컵북로 402, B122호 (상암동, KGIT센터)				37.580056	126.889000	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야산다이메		서울특별시 마포구 홍익로5안길 24, 1층 (서교동)				37.553684	126.921444	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	멘야붕		서울특별시 마포구 백범로31길 21, 서울창업허브 3층 개별주방 3호 (공덕동)				37.546745	126.949975	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	이리에라멘		서울특별시 마포구 성지1길 18 (합정동, 1층)				37.548069	126.914384	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오레노라멘		서울특별시 마포구 독막로8길 16, 1층 (합정동)				37.547253	126.917815	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야준		서울특별시 마포구 동교로 128, 1층 (서교동)				37.554813	126.916441	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	라멘파이터즈		서울특별시 마포구 동교로38길 27-14, 지1층 일부호 (연남동)				37.561967	126.926199	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	마츠에라멘		서울특별시 마포구 동교로 126 (서교동, 광남벨라스 1층 106호)				37.554736	126.916208	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	하나라멘		서울특별시 마포구 동교로38길 27-4, 1층 (연남동)				37.561649	126.925761	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘쇼우라멘 상암DMC점		서울특별시 마포구 월드컵북로54길 17, 사보이시티디엠씨 지하1층 B113호 (상암동)				37.581325	126.888542	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야  다이고미 홍대점		서울특별시 마포구 월드컵북로 41, 1층 102호 (서교동)				37.557943	126.918094	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	라멘클럽 사이		서울특별시 마포구 성지3길 19, 1층 102호 (합정동)				37.546806	126.914189	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	니시무라멘 연남본점		서울특별시 마포구 동교로 265, 4층 (연남동)				37.563374	126.925263	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	지로우 라멘		서울특별시 마포구 와우산로29가길 79 (서교동,1층)				37.553690	126.925150	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	세상끝의라멘		서울특별시 마포구 양화로7길 6-5, 2층 201호 (서교동, 와와빌딩)				37.551607	126.915207	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	카메야라멘		서울특별시 강서구 강서로 489-4, 2층 (가양동)				37.569524	126.841138	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	kokoro 라멘		서울특별시 강서구 초록마을로 4, 1층 일부호 (화곡동)				37.545007	126.844758	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	신센라멘 마곡점		서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 1층 114호 (마곡동)				37.568065	126.825972	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	미스터라멘		서울특별시 강서구 금낭화로 91-2, 1층 104호 (방화동, 1동 대승프라자)				37.573673	126.811093	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	계단라멘		서울특별시 강서구 마곡중앙6로 42, 사이언스타 1층 122호 (마곡동)				37.560120	126.832097	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘짱 앤 청계산뚝배기수제비		서울특별시 강서구 하늘길 112, 김포공항 1층 (공항동)				37.556756	126.808473	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	오로지라멘 구로지타워몰점		서울특별시 구로구 디지털로26길 38, G-SQUARE 1층 B239호 (구로동)				37.479902	126.895224	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘짱 디큐브점		서울특별시 구로구 경인로 662, 지하 2층 (신도림동, 디큐브시티)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	교레츠라멘_신도림		서울특별시 구로구 경인로 643, 205동 1층 115호 (신도림동, 신도림2차동아아파트)				37.508648	126.886207	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303+상가I20303)	
	지로우라멘		서울특별시 영등포구 영중로 15, 타임스퀘어 지하1층 (영등포동4가)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	로라멘		서울특별시 영등포구 도림로131길 17, 1층 (문래동2가)				37.513981	126.893766	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	정라멘		서울특별시 영등포구 도림로 491, 1층 (문래동4가)				37.516843	126.889198	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오로지라멘 서여의도점		서울특별시 영등포구 은행로 29, 정우빌딩 지하1층 7호 (여의도동)				37.529065	126.921900	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야사케야		서울특별시 영등포구 영중로 139, 1층 101,102,110,111,112,113,114호 (영등포동8가)				37.528750	126.905538	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	멘야이찌방		서울특별시 영등포구 경인로 706, 한양빌딩 1층 103호 (문래동1가)				37.510995	126.892568	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	더라멘워(The Ramen War)		서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	소노키라멘 영등포점		서울특별시 영등포구 국회대로56길 13, 1층 103호 (영등포동7가)				37.524160	126.909869	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	텐진라멘		서울특별시 영등포구 당산로 111-4 (당산동3가, 1층)				37.521041	126.890770	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	아오리라멘 서울문래점		서울특별시 영등포구 문래북로 108, 101호 (문래동3가, 문래동 태영 데시앙)				37.519596	126.897378	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야무테키		서울특별시 영등포구 당산로 42 (문래동3가, 2층(일부))				37.518227	126.895924	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	텐진라멘 문래		서울특별시 영등포구 문래북로 49, 1층 (양평동1가)				37.521031	126.890766	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	도쿄라멘3900		서울특별시 동작구 상도로67길 31, 1층 (상도동)				37.495039	126.956409	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘81번옥		서울특별시 동작구 만양로14가길 30-9, 1층 (노량진동)				37.512894	126.945207	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코우짱 라멘		서울특별시 관악구 봉천로 227, 보라매샤르망 제1층 제101,102호 (봉천동)				37.490028	126.927106	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	동경라멘학교		서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 식품관 (반포동)				37.504364	127.003621	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	사토이라멘		서울특별시 서초구 서초대로48길 108, 정일빌딩 1층 102호 (서초동)				37.488222	127.012396	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘짱 반포점		서울특별시 서초구 신반포로 194, 고속버스터미널 본관1층 점포9호 (반포동)				37.505518	127.007063	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	쇼부 일본라멘 전문점 (강남고속터미널1호점)		서울특별시 서초구 신반포로 지하 200, 지하1층 T-019호 (반포동, 강남터미널 지하쇼핑몰)				37.506078	127.004946	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	라멘토카이		서울특별시 서초구 효령로31길 16, 1층 (방배동)				37.481979	126.996544	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야하나비 신사점		서울특별시 서초구 강남대로101안길 18-1 (잠원동)				37.516273	127.017562	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	오로지라멘 방배카페점		서울특별시 서초구 방배중앙로 188, 2동 1층 312호 (방배동, 삼호상가)				37.495979	126.985808	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	호시라멘		서울특별시 서초구 방배천로2안길 39, 1층 (방배동)				37.478751	126.983801	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	사가라멘 강남역점		서울특별시 서초구 서초대로77길 9, 1층 102호 (서초동, 누드죤빌딩 )				37.498584	127.026223	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코이라멘 서초점		서울특별시 서초구 효령로72길 57, E-B103호 (서초동)				37.486822	127.028382	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	강남역 라면집		서울특별시 서초구 강남대로61길 19, 102호 (서초동,벨라채오피스텔)				37.498512	127.024711	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야시노기		서울특별시 서초구 주흥길 3, 108호, 109호 (반포동)				37.503785	127.020750	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	갓포라멘		서울특별시 강남구 선릉로155길 21, 지상1층 (신사동)				37.525493	127.037936	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘모토		서울특별시 강남구 도산대로13길 14-4, 202호 (신사동)				37.518878	127.023606	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	우시라멘		서울특별시 강남구 논현로20길 22, 지상1층 101호 (개포동, YH빌리지)				37.478244	127.046664	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	킨카이자카야 킨톤라멘		서울특별시 강남구 도산대로45길 10-5, 지하1층 (신사동)				37.523428	127.036206	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	마이니치라멘 선정릉점		서울특별시 강남구 봉은사로63길 7, 수목빌딩 지상1층 102호 (삼성동)				37.511845	127.046981	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	하쿠라멘 한티점		서울특별시 강남구 선릉로64길 6, 지상1층 3호 (대치동)				37.497667	127.052928	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코지라멘		서울특별시 강남구 선릉로86길 6-4, 지상1층 (대치동)				37.502880	127.050354	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	푸드스타사가라멘		서울특별시 강남구 강남대로154길 43 (신사동,지상1층102호)				37.518692	127.022397	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코이라멘 도산점(하우스 오브 코이)		서울특별시 강남구 압구정로46길 75, 지상2층 (신사동)				37.523830	127.036710	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	태양의토마토라멘		서울특별시 강남구 강남대로106길 7, 2층 (역삼동)				37.502992	127.026223	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	슈퍼라멘		서울특별시 강남구 논현로105길 6-5, 1층 (역삼동)				37.506300	127.033547	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	유타로 라멘 논현점		서울특별시 강남구 봉은사로29길 8, 유정빌딩 1층 102호 (논현동)				37.508349	127.034758	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	더라멘워(THE RAMEN WAR)		서울특별시 강남구 테헤란로 517, 현대백화점 무역센터 지하1층 (삼성동)				37.508595	127.059719	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	오또상 라멘		서울특별시 강남구 논현로175길 40, 지상1층 102호,104호 (신사동)				37.525091	127.025332	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오또상 라멘 신논현역점		서울특별시 강남구 봉은사로6길 26, 1층 (역삼동)				37.503333	127.027100	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	마이니치라멘		서울특별시 강남구 언주로85길 13, 상가동 지상1층 113-1호 (역삼동, 경남아파트)				37.509878	127.035447	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	이치바 라멘		서울특별시 강남구 압구정로29길 72-1, 신사상가 지상1층 B-4-1호 (압구정동)						LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	울트라멘		서울특별시 강남구 강남대로122길 14 (논현동,지상1층)				37.507860	127.024338	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야 유메미루		서울특별시 강남구 테헤란로43길 28, 지상1층 (역삼동)				37.505019	127.044203	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가+상가)	
	라멘 호토리		서울특별시 강남구 삼성로 434, 익성대치 지상1층 (대치동)				37.505702	127.057668	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	태양의 토마토라멘		서울특별시 강남구 선릉로64길 17 (대치동)				37.498244	127.053654	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	역삼라멘		서울특별시 강남구 언주로107길 38, 지상1층 101호 (역삼동)				37.507229	127.036093	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	카도야라멘 가로수직영점		서울특별시 강남구 압구정로10길 30-3, 지하1층 (신사동)				37.521733	127.021708	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	덴키라멘(DENKI RAMEN)		서울특별시 강남구 논현로30길 43, 지상1층 (도곡동)				37.484915	127.045111	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	유라멘 강남역삼신논현역CGV점심저녁		서울특별시 강남구 봉은사로4길 32, 지상1층 (역삼동)				37.502779	127.026657	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	쇼부라멘 대웅제약점		서울특별시 강남구 봉은사로114길 12, 대웅제약빌딩 지하1층 4호 (삼성동)				37.514486	127.065479	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	쇼부라멘 수서역점		서울특별시 강남구 광평로 280, 로즈데일오피스텔 지상1층 112호 (수서동)				37.487322	127.103109	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야미코		서울특별시 강남구 삼성로 642, 1층 103호 (삼성동)				37.517395	127.051321	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	멘야 길조		서울특별시 강남구 논현로76길 34, 지상1층 102호 (역삼동)				37.497732	127.041541	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	오레노라멘강남		서울특별시 강남구 테헤란로1길 28-9, 성은빌딩 2층 (역삼동)				37.500499	127.028080	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	와다라멘 역삼점		서울특별시 강남구 테헤란로 309, 삼성제일빌딩 지하1층 6호 (역삼동)				37.503661	127.044295	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	마이니치라멘		서울특별시 강남구 언주로115길 15, 지상1층 102호 (논현동)				37.509866	127.035464	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야산다이메논현		서울특별시 강남구 강남대로114길 23, 101호 (논현동)				37.506286	127.026139	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	코이라멘 압구정점		서울특별시 강남구 압구정로32길 11, 캐럴라인타워 지상1층 107호 (신사동)				37.526916	127.030216	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라면집		서울특별시 강남구 테헤란로83길 19 (삼성동)				37.508595	127.057226	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	하쿠라멘		서울특별시 강남구 남부순환로359길 4, 지상1층 (도곡동)				37.485438	127.037180	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	코이라멘		서울특별시 송파구 올림픽로34길 16, 1층 (방이동)				37.515094	127.110921	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	태양의 토마토라멘 송리단길점		서울특별시 송파구 백제고분로45길 22-1, 2층 (송파동)				37.510149	127.109154	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	하루토라멘		서울특별시 송파구 송파대로28길 24, 105-2호 (가락동,밀리아나오피스텔 지상1층)				37.494314	127.120561	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	수라멘		서울특별시 송파구 송파대로 345, 1B동 지하1층 176호,177호 (가락동, 헬리오시티)				37.497612	127.102535	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야끼		서울특별시 강동구 양재대로85길 14, 202호 (성내동, 태천빌딩)				37.524628	127.134004	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	원라멘		서울특별시 강동구 구천면로 427, 삼우빌딩 1층 107호 (명일동)				37.550539	127.146145	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야세븐		서울특별시 강동구 양재대로112길 45, 1층 (길동)				37.536435	127.142301	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	하타나카라멘		서울특별시 용산구 이태원로 230-1				37.535543	126.999355	상가정보					영업									추정									제보검토중		시딩v2(상가I20303+상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	아웃나우1호	동대문	서울특별시 중구 장충단로13길 20				37.568736	127.007675	상가정보					영업									추정									제보검토중		시딩v2(상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	멘무샤		서울특별시 구로구 디지털로 288				37.483572	126.895505	상가정보					영업									추정									제보검토중		시딩v2(상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	진가와광화문점	코리아	서울특별시 종로구 종로1길 50				37.574726	126.979024	상가정보					영업									추정									제보검토중		시딩v2(상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	아오리의행방불명	노원점	서울특별시 노원구 상계로1길 14-11				37.656909	127.061820	상가정보					영업									추정									제보검토중		시딩v2(상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	손모아아오리의행방불명	명동점	서울특별시 중구 명동10길 35-20				37.562933	126.985807	상가정보					영업									추정									제보검토중		시딩v2(상가I20303)	I20303 발굴 — 라멘 여부 확인 필요
	모퉁이라면집		서울특별시 강남구 테헤란로1길 20				37.499662	127.027809	상가정보					영업									추정									제보검토중		시딩v2(상가)	
