id	상호	지점명	주소	시	구	동네라벨	lat	lng	좌표출처	영업시간	브레이크	휴무	오픈일	상태	상태변경일	형태	형태_대표	스프	스프_대표	스프_세부	계보	편의	태깅확신도	대표메뉴1	대표메뉴2	대표메뉴3	좌석	한줄소개	인스타	네이버플레이스	웨이팅링크	검증상태	최종확인일	정보출처	메모
	메이게츠 라멘 신림점		서울특별시 관악구 신림로19길 78, 지하2층 1호 (신림동)				37.466898	126.935777	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야 카엔		서울특별시 관악구 남부순환로230길 39, 1층 (봉천동)				37.478342	126.955619	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	쿠잔라멘		서울특별시 광진구 면목로 22, 1층 (군자동)				37.555967	127.075974	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	소노키라멘 반포점		서울특별시 서초구 사평대로55길 72, 1층 (반포동)				37.507164	127.021585	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	코코로라멘광장시장점		서울특별시 종로구 창경궁로 88-13, 원상빌딩 1층 (종로4가)				37.570398	126.998828	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘모토		서울특별시 서초구 신반포로 325, 반포빌딩 101-1호 (잠원동)				37.510709	127.019164	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야하나비		서울특별시 송파구 백제고분로45길 38, 1층 103호 (송파동)				37.510965	127.107788	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	유니드라멘		서울특별시 광진구 능동로37길 44, 1층 (중곡동)				37.558843	127.077645	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘 킥스타트		서울특별시 중구 다산로21길 14, 1층 (신당동)				37.558160	127.011491	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오이시쿠 라멘 강서점		서울특별시 강서구 곰달래로53길 30, 1층 (화곡동)				37.533174	126.859477	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오로지라멘		서울특별시 노원구 동일로217길 58 (상계동, 헤룡빌딩 105호, 106호)				37.653287	127.057939	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야하나		서울특별시 금천구 시흥대로152길 25, 상가동 1층 111호, 112호 (독산동, 신도브래뉴아파트)				37.477400	126.900239	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	와다라멘		서울특별시 구로구 시흥대로163길 12, 2층 (구로동)				37.481681	126.899298	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	소바하우스 멘야준		서울특별시 마포구 월드컵북로6길 84, 1층 (동교동)				37.559980	126.922624	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오레노라멘 롯데월드몰점		서울특별시 송파구 올림픽로 300, 롯데월드몰 5층 (신천동)				37.513101	127.103433	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	호시노라멘&덮밥		서울특별시 관악구 대학6길 14, 1층 (신림동)				37.469077	126.936937	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	라멘 롱 시즌(japanese ramen long season)		서울특별시 마포구 동교로34길 21 (연남동, 지1층일부)				37.560838	126.925557	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘모토		서울특별시 마포구 포은로 11 (합정동, 1층일부)				37.549229	126.909222	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	신유라멘		서울특별시 금천구 서부샛길 606, 대성디폴리스지식산업센터 108호 (가산동)				37.479747	126.877048	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	쇼부라멘 상암월드컵경기장점		서울특별시 마포구 월드컵로 240, 월드컵주경기장 메가박스 2층일부 (성산동)				37.568286	126.897278	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야가와		서울특별시 양천구 목동중앙로7길 8, 1층 일부호 (목동)				37.538221	126.872726	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	잇또라멘 노원점		서울특별시 노원구 노해로 517, 3층 (상계동)				37.655692	127.065405	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	폭탄국밥&오이시쿠 라멘 고대안암점		서울특별시 성북구 고려대로26길 31, 지하1층 지하-2호 (안암동5가)				37.584861	127.030072	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	멘야포모 성수점		서울특별시 성동구 연무장길 37-17, 지1층 (성수동2가)				37.543414	127.053636	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가)	
	주카라멘바		서울특별시 영등포구 선유동1로 6-11 (당산동2가)				37.522528	126.892254	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘츠쿠 노원본점		서울특별시 노원구 상계로1길 38-11, 우창프라자 117호 (상계동)				37.657994	127.062384	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	신센라멘 신림점		서울특별시 관악구 서림길 41, 2층 (신림동)				37.474321	126.938400	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘타쿠라멘		서울특별시 송파구 법원로8길 13, 문정헤리움써밋타워 1층 109호 (문정동)				37.484555	127.122315	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야이찌방 고척점		서울특별시 구로구 경인로47길 60, 1층 (고척동)				37.501666	126.865119	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	혼다라멘 어린이대공원점		서울특별시 광진구 광나루로 385, 1층 1호 (군자동)				37.548098	127.072659	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	멘야돈토리		서울특별시 양천구 남부순환로 330 (신월동, 덕수펠리체1층 101호)				37.537194	126.826986	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가)	
	이츠모라멘		서울특별시 마포구 와우산로23길 18-7 (서교동, 2층 일부)				37.553994	126.924619	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	오로지라멘		서울특별시 양천구 목동중앙북로7가길 43, 지상1층 (목동)				37.549473	126.865136	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	라멘트럭 목동점		서울특별시 양천구 오목로54길 9, 수정빌딩 1층 101호 (목동)				37.523819	126.873448	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
	쿄라멘(Kyo ramen)		서울특별시 마포구 동교로46길 25, 지층 (연남동)				37.562307	126.926177	LOCALDATA					영업									추정									제보검토중		시딩v2(인허가+상가I20303)	
